track_id,track_num,scenario,domain,track_dir,annotation_path,gt_text,layout,track_status,num_lr_images,num_hr_images,lr_image_paths,hr_image_paths,annotation_notes
track_01630,1630,Scenario-A,Brazilian,Scenario-A/Brazilian/track_01630,Scenario-A/Brazilian/track_01630/annotations.json,ADO6225,Brazilian,ok,5,5,"[""Scenario-A/Brazilian/track_01630/lr-001.png"", ""Scenario-A/Brazilian/track_01630/lr-002.png"", ""Scenario-A/Brazilian/track_01630/lr-003.png"", ""Scenario-A/Brazilian/track_01630/lr-004.png"", ""Scenario-A/Brazilian/track_01630/lr-005.png""]","[""Scenario-A/Brazilian/track_01630/hr-001.png"", ""Scenario-A/Brazilian/track_01630/hr-002.png"", ""Scenario-A/Brazilian/track_01630/hr-003.png"", ""Scenario-A/Brazilian/track_01630/hr-004.png"", ""Scenario-A/Brazilian/track_01630/hr-005.png""]",[]
track_02057,2057,Scenario-A,Brazilian,Scenario-A/Brazilian/track_02057,Scenario-A/Brazilian/track_02057/annotations.json,AXS7787,Brazilian,ok,5,5,"[""Scenario-A/Brazilian/track_02057/lr-001.png"", ""Scenario-A/Brazilian/track_02057/lr-002.png"", ""Scenario-A/Brazilian/track_02057/lr-003.png"", ""Scenario-A/Brazilian/track_02057/lr-004.png"", ""Scenario-A/Brazilian/track_02057/lr-005.png""]","[""Scenario-A/Brazilian/track_02057/hr-001.png"", ""Scenario-A/Brazilian/track_02057/hr-002.png"", ""Scenario-A/Brazilian/track_02057/hr-003.png"", ""Scenario-A/Brazilian/track_02057/hr-004.png"", ""Scenario-A/Brazilian/track_02057/hr-005.png""]",[]
track_02359,2359,Scenario-A,Brazilian,Scenario-A/Brazilian/track_02359,Scenario-A/Brazilian/track_02359/annotations.json,AWH5972,Brazilian,ok,5,5,"[""Scenario-A/Brazilian/track_02359/lr-001.png"", ""Scenario-A/Brazilian/track_02359/lr-002.png"", ""Scenario-A/Brazilian/track_02359/lr-003.png"", ""Scenario-A/Brazilian/track_02359/lr-004.png"", ""Scenario-A/Brazilian/track_02359/lr-005.png""]","[""Scenario-A/Brazilian/track_02359/hr-001.png"", ""Scenario-A/Brazilian/track_02359/hr-002.png"", ""Scenario-A/Brazilian/track_02359/hr-003.png"", ""Scenario-A/Brazilian/track_02359/hr-004.png"", ""Scenario-A/Brazilian/track_02359/hr-005.png""]",[]
track_06214,6214,Scenario-A,Brazilian,Scenario-A/Brazilian/track_06214,Scenario-A/Brazilian/track_06214/annotations.json,AXE0751,Brazilian,ok,5,5,"[""Scenario-A/Brazilian/track_06214/lr-001.png"", ""Scenario-A/Brazilian/track_06214/lr-002.png"", ""Scenario-A/Brazilian/track_06214/lr-003.png"", ""Scenario-A/Brazilian/track_06214/lr-004.png"", ""Scenario-A/Brazilian/track_06214/lr-005.png""]","[""Scenario-A/Brazilian/track_06214/hr-001.png"", ""Scenario-A/Brazilian/track_06214/hr-002.png"", ""Scenario-A/Brazilian/track_06214/hr-003.png"", ""Scenario-A/Brazilian/track_06214/hr-004.png"", ""Scenario-A/Brazilian/track_06214/hr-005.png""]",[]
track_06252,6252,Scenario-A,Brazilian,Scenario-A/Brazilian/track_06252,Scenario-A/Brazilian/track_06252/annotations.json,AXI3888,Brazilian,ok,5,5,"[""Scenario-A/Brazilian/track_06252/lr-001.png"", ""Scenario-A/Brazilian/track_06252/lr-002.png"", ""Scenario-A/Brazilian/track_06252/lr-003.png"", ""Scenario-A/Brazilian/track_06252/lr-004.png"", ""Scenario-A/Brazilian/track_06252/lr-005.png""]","[""Scenario-A/Brazilian/track_06252/hr-001.png"", ""Scenario-A/Brazilian/track_06252/hr-002.png"", ""Scenario-A/Brazilian/track_06252/hr-003.png"", ""Scenario-A/Brazilian/track_06252/hr-004.png"", ""Scenario-A/Brazilian/track_06252/hr-005.png""]",[]
track_06476,6476,Scenario-A,Brazilian,Scenario-A/Brazilian/track_06476,Scenario-A/Brazilian/track_06476/annotations.json,AOZ2423,Brazilian,ok,5,5,"[""Scenario-A/Brazilian/track_06476/lr-001.png"", ""Scenario-A/Brazilian/track_06476/lr-002.png"", ""Scenario-A/Brazilian/track_06476/lr-003.png"", ""Scenario-A/Brazilian/track_06476/lr-004.png"", ""Scenario-A/Brazilian/track_06476/lr-005.png""]","[""Scenario-A/Brazilian/track_06476/hr-001.png"", ""Scenario-A/Brazilian/track_06476/hr-002.png"", ""Scenario-A/Brazilian/track_06476/hr-003.png"", ""Scenario-A/Brazilian/track_06476/hr-004.png"", ""Scenario-A/Brazilian/track_06476/hr-005.png""]",[]
track_03597,3597,Scenario-A,Mercosur,Scenario-A/Mercosur/track_03597,Scenario-A/Mercosur/track_03597/annotations.json,AXW7G34,Mercosur,ok,5,5,"[""Scenario-A/Mercosur/track_03597/lr-001.png"", ""Scenario-A/Mercosur/track_03597/lr-002.png"", ""Scenario-A/Mercosur/track_03597/lr-003.png"", ""Scenario-A/Mercosur/track_03597/lr-004.png"", ""Scenario-A/Mercosur/track_03597/lr-005.png""]","[""Scenario-A/Mercosur/track_03597/hr-001.png"", ""Scenario-A/Mercosur/track_03597/hr-002.png"", ""Scenario-A/Mercosur/track_03597/hr-003.png"", ""Scenario-A/Mercosur/track_03597/hr-004.png"", ""Scenario-A/Mercosur/track_03597/hr-005.png""]",[]
track_04756,4756,Scenario-A,Mercosur,Scenario-A/Mercosur/track_04756,Scenario-A/Mercosur/track_04756/annotations.json,EFE9G72,Mercosur,ok,5,5,"[""Scenario-A/Mercosur/track_04756/lr-001.png"", ""Scenario-A/Mercosur/track_04756/lr-002.png"", ""Scenario-A/Mercosur/track_04756/lr-003.png"", ""Scenario-A/Mercosur/track_04756/lr-004.png"", ""Scenario-A/Mercosur/track_04756/lr-005.png""]","[""Scenario-A/Mercosur/track_04756/hr-001.png"", ""Scenario-A/Mercosur/track_04756/hr-002.png"", ""Scenario-A/Mercosur/track_04756/hr-003.png"", ""Scenario-A/Mercosur/track_04756/hr-004.png"", ""Scenario-A/Mercosur/track_04756/hr-005.png""]",[]
track_07805,7805,Scenario-A,Mercosur,Scenario-A/Mercosur/track_07805,Scenario-A/Mercosur/track_07805/annotations.json,SEF5A45,Mercosur,ok,5,5,"[""Scenario-A/Mercosur/track_07805/lr-001.png"", ""Scenario-A/Mercosur/track_07805/lr-002.png"", ""Scenario-A/Mercosur/track_07805/lr-003.png"", ""Scenario-A/Mercosur/track_07805/lr-004.png"", ""Scenario-A/Mercosur/track_07805/lr-005.png""]","[""Scenario-A/Mercosur/track_07805/hr-001.png"", ""Scenario-A/Mercosur/track_07805/hr-002.png"", ""Scenario-A/Mercosur/track_07805/hr-003.png"", ""Scenario-A/Mercosur/track_07805/hr-004.png"", ""Scenario-A/Mercosur/track_07805/hr-005.png""]",[]
track_08132,8132,Scenario-A,Mercosur,Scenario-A/Mercosur/track_08132,Scenario-A/Mercosur/track_08132/annotations.json,FJS3H73,Mercosur,ok,5,5,"[""Scenario-A/Mercosur/track_08132/lr-001.png"", ""Scenario-A/Mercosur/track_08132/lr-002.png"", ""Scenario-A/Mercosur/track_08132/lr-003.png"", ""Scenario-A/Mercosur/track_08132/lr-004.png"", ""Scenario-A/Mercosur/track_08132/lr-005.png""]","[""Scenario-A/Mercosur/track_08132/hr-001.png"", ""Scenario-A/Mercosur/track_08132/hr-002.png"", ""Scenario-A/Mercosur/track_08132/hr-003.png"", ""Scenario-A/Mercosur/track_08132/hr-004.png"", ""Scenario-A/Mercosur/track_08132/hr-005.png""]",[]
